Artist,Song,Date Released,Avg,# Ratings,Wants
Marissa Paternoster,Peace Meter,3 December 2021,2.91,26,5
Ashbreather,"“Ow, My Eye”",3 December 2021,3.74,48,8
Redemptor,Agonia,3 December 2021,3.49,32,4
The Physics House Band,Incident on 3rd,3 December 2021,3.36,37,7
Mike Shinoda,Ziggurats,3 December 2021,3.13,43,6
Filmmaker,Screening Plexus,3 December 2021,3.43,27,9
Skullflower,A Crispy Void,3 December 2021,3.26,11,10
Traumprinz,To All Believers,1 December 2021,3.46,15,10
Voidsphere,To Overtake | To Overcome,December 2021,3.62,30,7
카이 [Kai],Peaches,30 November 2021,3.24,132,4
HFMC,We Are the Truth,26 November 2021,3.42,19,3
Hunters Moon,The Great Pandemonium,26 November 2021,3.58,28,6
Abdullah Ibrahim,Solotude,26 November 2021,3.57,13,7
NiziU,U,24 November 2021,3.03,46,6
Paul Wardingham,Cybergenesis,19 November 2021,3.65,18,6
Jessy Lanza,DJ Kicks: Jessy Lanza (Exclusives),19 November 2021,3.25,26,7
JACK Quartet / Bearthoven / andPlay / Erik Behr / Hannah Lash / Hannah Levinson,Bell Threads,19 November 2021,2.80,7,13
Armand Hammer,DJ Mo Niklz presents They Who Control the Weather,19 November 2021,3.50,11,9
Dead Can Dance,"Live From Auditori Forum, Barcelona, Spain. March 22nd, 2005",19 November 2021,3.59,8,9
Lil Uzi Vert,The Real Uzi 2,2022,5.00,1,12
Disma,Earthendium,2022,-,inf,12
The Alchemist,Cycles,24 December 2021,2.96,42,9
nosgov,Nieszczere Przeprosiny,20 December 2021,3.58,34,11
RXK Nephew,Transporter 4,19 December 2021,3.51,30,7
Celestial Sword / Trhä,Edënohhdlha hálgra tu majtranlh'ha / Ga nëcëcta mon idlhi,12 December 2021,3.28,35,7
Black Cilice,Tomb Emanations,10 December 2021,4.00,3,10
The Residents,Duck Stab! Alive!,10 December 2021,3.25,31,8
Canibus,Kaiju,10 December 2021,2.75,22,6
Mulla,Don't Cry My Africa,9 December 2021,2.50,15,5
iANO,Outside The Middle,6 December 2021,3.39,30,8
New Found Glory,December's Here,3 December 2021,2.55,11,8
Tom Morello,The Atlas Underground Flood,3 December 2021,2.15,31,3
Khalid,Scenic Drive,3 December 2021,2.73,136,8
Brent Faiyaz,Wasteland,3 December 2021,-,inf,12
Jerman/BarnesJeph JermanTim Barnes,Hiss Lift,Jeph JermanTim Barnes,2.99,11,9
Slimesito,Life of a Slime,2 December 2021,3.51,31,9
Tory Lanez,Alone At Prom,1 December 2021,2.45,147,8
Curren$y,Land Air Sea,29 November 2021,3.03,40,9
Lindy-Fay Hella & Dei Farne,Hildring,26 November 2021,3.21,21,6
